"Grid";"Year";"Cattle";"Horse";"RoeDeer";"WildBoar";"Fox";"Wolf";"Ibex"
"c1";2020;1;1;1;1;0.393507991562053;0.263011524737417;0.000784608433003851
"c2";2020;0.0814715111671637;0.146930124679274;0.99453953273703;0.802287661268257;0.619578103181022;0.661812774986591;0.0278674177235633
"c3";2020;0.46544916254183;0.571530689513503;1;1;0.569901497754252;0.85830218224236;0.797382337354982
"c4";2020;0.248022273258396;0.913975652422014;1;1;0.558773286337323;0.963933518551956;0.990575474668901
"d1";2020;0.357063968875063;0.138034942709752;1;1;0.706727081401295;0.723804098640416;0.00806715765402508
"d2";2020;0.36124831463877;0.631605601350054;0.97616731935895;0.904521033064071;0.760042645751494;0.739460893556782;0.638671648717096
"d3";2020;0.203730781668978;0.106654869846568;1;1;0.778431781753637;0.712841344219081;0.986293112734199
"d4";2020;1;0.550209358149206;1;0.706276731134627;0.389760589827748;0.253343407629117;0.999868432362561
"a1";2021;1;1;1;1;0.012261986430042;0.170502747871741;4.35215463033778e-45
"a2";2021;1;1;0.000114065933026938;1;1;0.993953973321372;7.4900717331862e-31
"a3";2021;1;1;1;1;1;0.727772798114051;1
"a4";2021;1;0.264913574841752;1;1;1;0.350722814418113;2.7164636905429e-24
"b1";2021;1;1;1;1;1;0.978790462299805;0.0129965223062809
"b2";2021;2.10594361726218e-05;1;1;1;0.0988109865766108;0.166012647845724;4.63327129667698e-20
"b3";2021;1;1;1;1;1;0.889790542311724;1
"b4";2021;1;1;1;1;1;0.506425262299579;0.997700885015698
"c1";2021;1;1;1;1;1;1;0.00105335388832137
"c2";2021;0.00478387964895262;1;1;1;0.463513212609894;0.517927997028496;0.0343174605485017
"c3";2021;0.140452141426318;1;1;1;1;1;0.852562200856429
"c4";2021;1;1;1;1;0.482207304787032;0.964507384166354;0.996018560865192
"d1";2021;1;1;1;0.0680278000576035;1;0.802700795480284;0.0106266092594739
"d2";2021;0.0480518947395892;0.0593370444905252;1;1;0.187854783277132;0.816175837218544;0.703983780330036
"d3";2021;1;0.0725834102786775;1;1;0.288227646715803;0.79045127404265;0.993947748470303
"d4";2021;0.0042830610856757;1;1;1;1;0.218046516716169;1
"a1";2022;1;1;1;1;1;0.155645104793699;4.1184240185864e-43
"a2";2022;1;1;1;1;1;0.992395828471622;1.54069072422655e-28
"a3";2022;1;1;1;1;1;0.618884099127023;1
"a4";2022;1;1;1;1;0.0547676071177184;0.355472754020446;1.32917227977462e-19
"b1";2022;0.0857985145519422;0.00216738718709315;1;1;0.176830820153051;0.973744862297587;0.0207189102060813
"b2";2022;0.000170799037107364;1;1;0.100059135996033;0.297958012789046;0.19841413070015;3.24535252593786e-15
"b3";2022;1;1;1;1;1;0.870457248218792;1
"b4";2022;1;1;1;1;0.185917956751446;1;0.998914858977269
"c1";2022;0.00205834215511707;1;1;1;0.0447619657657643;0.536706494568683;0.00401091144635175
"c2";2022;0.00485007013774247;1;1;1;0.39243872730342;0.488311466112133;0.0443023521503574
"c3";2022;0.129825517239234;0.127287756121918;1;1;0.302849457904198;0.991947412314818;0.892654010309176
"c4";2022;0.0282574697060741;1;1;1;0.256240398430145;1;0.998159341203128
"d1";2022;0.0245891764563446;0.00240764936762171;1;1;1;0.859193438232628;0.0202038044668808
"d2";2022;0.050022969739285;0.0868852202246031;0.0153697137830185;1;1;0.873059737696963;0.759027021361237
"d3";2022;0.0108170083469215;0.107355889975514;1;0.00115635237991598;1;0.847459472043261;0.997173159788481
"d4";2022;1;1;1;1;1;0.219576207027535;1
